county,precinct,office,district,candidate,party,votes,absentee,election_day
Westmoreland,0609 BELL TWP - SALINA,Straight Party,,Democratic,DEM,30,1,29
Westmoreland,0609 BELL TWP - SALINA,Straight Party,,Republican,REP,44,1,43
Westmoreland,0609 BELL TWP - SALINA,Straight Party,,Green Party,GRN,0,0,0
Westmoreland,0609 BELL TWP - SALINA,Straight Party,,Libertarian,LN,1,0,1
Westmoreland,0609 BELL TWP - SALINA,U.S. Senate,,Bob Casey Jr,DEM,74,3,71
Westmoreland,0609 BELL TWP - SALINA,U.S. Senate,,Lou Barletta,REP,83,2,81
Westmoreland,0609 BELL TWP - SALINA,U.S. Senate,,Neal Gale,GRN,1,0,1
Westmoreland,0609 BELL TWP - SALINA,U.S. Senate,,Dale R Kerns Jr,LN,2,0,2
Westmoreland,0609 BELL TWP - SALINA,Governor,,Tom Wolf,DEM,75,3,72
Westmoreland,0609 BELL TWP - SALINA,Governor,,Scott R Wagner,REP,81,2,79
Westmoreland,0609 BELL TWP - SALINA,Governor,,Paul Glover,GRN,0,0,0
Westmoreland,0609 BELL TWP - SALINA,Governor,,Ken V Krawchuk,LN,3,0,3
Westmoreland,0609 BELL TWP - SALINA,U.S. House,14.0,Bibiana Boerio,DEM,55,3,52
Westmoreland,0609 BELL TWP - SALINA,U.S. House,14.0,Guy Reschenthaler,REP,98,2,96
Westmoreland,0609 BELL TWP - SALINA,State House,55.0,Joseph A Petrarca,DEM,116,3,113
Westmoreland,0700 BOLIVAR BOROUGH,Straight Party,,Democratic,DEM,21,0,21
Westmoreland,0700 BOLIVAR BOROUGH,Straight Party,,Republican,REP,30,0,30
Westmoreland,0700 BOLIVAR BOROUGH,Straight Party,,Green Party,GRN,1,0,1
Westmoreland,0700 BOLIVAR BOROUGH,Straight Party,,Libertarian,LN,0,0,0
Westmoreland,0700 BOLIVAR BOROUGH,U.S. Senate,,Bob Casey Jr,DEM,71,0,71
Westmoreland,0700 BOLIVAR BOROUGH,U.S. Senate,,Lou Barletta,REP,48,0,48
Westmoreland,0700 BOLIVAR BOROUGH,U.S. Senate,,Neal Gale,GRN,1,0,1
Westmoreland,0700 BOLIVAR BOROUGH,U.S. Senate,,Dale R Kerns Jr,LN,6,0,6
Westmoreland,0700 BOLIVAR BOROUGH,Governor,,Tom Wolf,DEM,71,0,71
Westmoreland,0700 BOLIVAR BOROUGH,Governor,,Scott R Wagner,REP,54,0,54
Westmoreland,0700 BOLIVAR BOROUGH,Governor,,Paul Glover,GRN,1,0,1
Westmoreland,0700 BOLIVAR BOROUGH,Governor,,Ken V Krawchuk,LN,5,0,5
Westmoreland,0700 BOLIVAR BOROUGH,U.S. House,13.0,Brent Ottaway,DEM,53,0,53
Westmoreland,0700 BOLIVAR BOROUGH,U.S. House,13.0,John Joyce,REP,69,0,69
Westmoreland,0700 BOLIVAR BOROUGH,State House,59.0,Clare Dooley,DEM,41,0,41
Westmoreland,0700 BOLIVAR BOROUGH,State House,59.0,Mike Reese,REP,85,0,85
Westmoreland,0800 COOK TWP,Straight Party,,Democratic,DEM,124,12,112
Westmoreland,0800 COOK TWP,Straight Party,,Republican,REP,363,18,345
Westmoreland,0800 COOK TWP,Straight Party,,Green Party,GRN,2,0,2
Westmoreland,0800 COOK TWP,Straight Party,,Libertarian,LN,0,0,0
Westmoreland,0800 COOK TWP,U.S. Senate,,Bob Casey Jr,DEM,274,19,255
Westmoreland,0800 COOK TWP,U.S. Senate,,Lou Barletta,REP,542,21,521
Westmoreland,0800 COOK TWP,U.S. Senate,,Neal Gale,GRN,7,0,7
Westmoreland,0800 COOK TWP,U.S. Senate,,Dale R Kerns Jr,LN,8,3,5
Westmoreland,0800 COOK TWP,Governor,,Tom Wolf,DEM,291,20,271
Westmoreland,0800 COOK TWP,Governor,,Scott R Wagner,REP,534,22,512
Westmoreland,0800 COOK TWP,Governor,,Paul Glover,GRN,6,0,6
Westmoreland,0800 COOK TWP,Governor,,Ken V Krawchuk,LN,6,1,5
Westmoreland,0800 COOK TWP,U.S. House,13.0,Brent Ottaway,DEM,235,20,215
Westmoreland,0800 COOK TWP,U.S. House,13.0,John Joyce,REP,592,23,569
Westmoreland,0800 COOK TWP,State House,59.0,Clare Dooley,DEM,202,17,185
