county,precinct,office,district,candidate,party,votes,absentee,election_day
Schuylkill,Girardville,U.S. House,9,Write-in,,0.0,,
Schuylkill,Gordon,U.S. House,9,Write-in,,0.0,,
Schuylkill,Mahanoy City Pct. 1,U.S. House,9,Write-in,,0.0,,
Schuylkill,Mahanoy City Pct. 2,U.S. House,9,Write-in,,2.0,,
Schuylkill,Mahanoy City Pct. 3,U.S. House,9,Write-in,,0.0,,
Schuylkill,Mahanoy City Pct. 4,U.S. House,9,Write-in,,1.0,,
Schuylkill,Mahanoy Twp.,U.S. House,9,Write-in,,1.0,,
Schuylkill,Middleport,U.S. House,9,Write-in,,0.0,,
Schuylkill,Minersville 1st Pct.,U.S. House,9,Write-in,,1.0,,
Schuylkill,Minersville 2nd Pct.,U.S. House,9,Write-in,,1.0,,
Schuylkill,Minersville 3rd Pct.,U.S. House,9,Write-in,,0.0,,
Schuylkill,Minersville 4th Pct.,U.S. House,9,Write-in,,0.0,,
Schuylkill,New Castle Twp.,U.S. House,9,Write-in,,0.0,,
Schuylkill,New Philadelphia,U.S. House,9,Write-in,,1.0,,
Schuylkill,Norwegian Twp. Currans,U.S. House,9,Write-in,,0.0,,
Schuylkill,Norwegian Twp. Marlin,U.S. House,9,Write-in,,0.0,,
Schuylkill,Palo Alto 1st Ward,U.S. House,9,Write-in,,0.0,,
Schuylkill,Palo Alto 2nd Ward,U.S. House,9,Write-in,,1.0,,
Schuylkill,Port Carbon 1st Pct.,U.S. House,9,Write-in,,0.0,,
Schuylkill,Port Carbon 2nd Pct.,U.S. House,9,Write-in,,1.0,,
Schuylkill,Reilly Twp.,U.S. House,9,Write-in,,0.0,,
Schuylkill,Ryan Twp.,U.S. House,9,Write-in,,3.0,,
Schuylkill,St. Clair Middle,U.S. House,9,Write-in,,0.0,,
Schuylkill,St. Clair South,U.S. House,9,Write-in,,1.0,,
Schuylkill,St. Clair North,U.S. House,9,Write-in,,0.0,,
Schuylkill,Shenandoah 1st Pct.,U.S. House,9,Write-in,,0.0,,
Schuylkill,Shenandoah 2nd Pct.,U.S. House,9,Write-in,,0.0,,
Schuylkill,Shenandoah 3rd Pct.,U.S. House,9,Write-in,,0.0,,
Schuylkill,Shenandoah 4th Pct.,U.S. House,9,Write-in,,0.0,,
Schuylkill,Shenandoah 5th Pct.,U.S. House,9,Write-in,,1.0,,
Schuylkill,Shenandoah 6th Pct.,U.S. House,9,Write-in,,0.0,,
Schuylkill,West Mahanoy Twp. Altamont,U.S. House,9,Write-in,,1.0,,
Schuylkill,West Mahanoy Twp. Pct. 2,U.S. House,9,Write-in,,6.0,,
Schuylkill,West Mahanoy Twp. Pct. 1,U.S. House,9,Write-in,,0.0,,
Schuylkill,Auburn,U.S. House,9,Write-in,,1.0,,
Schuylkill,Coaldale East Pct.,U.S. House,9,Write-in,,1.0,,
Schuylkill,Coaldale West Pct.,U.S. House,9,Write-in,,2.0,,
Schuylkill,Deer Lake,U.S. House,9,Write-in,,0.0,,
Schuylkill,East Brunswick Twp.,U.S. House,9,Write-in,,1.0,,
Schuylkill,East Union Twp.,U.S. House,9,Write-in,,1.0,,
Schuylkill,Kline Twp.,U.S. House,9,Write-in,,1.0,,
Schuylkill,Landingville,U.S. House,9,Write-in,,1.0,,
Schuylkill,McAdoo 1st Pct.,U.S. House,9,Write-in,,0.0,,
Schuylkill,McAdoo 2nd Pct.,U.S. House,9,Write-in,,2.0,,
Schuylkill,New Ringgold,U.S. House,9,Write-in,,0.0,,
Schuylkill,North Union Twp.,U.S. House,9,Write-in,,0.0,,
Schuylkill,Port Clinton,U.S. House,9,Write-in,,0.0,,
Schuylkill,Ringtown,U.S. House,9,Write-in,,0.0,,
Schuylkill,Rush Twp. East,U.S. House,9,Write-in,,0.0,,
Schuylkill,Rush Twp. West,U.S. House,9,Write-in,,0.0,,
Schuylkill,Rush Twp. Elixir,U.S. House,9,Write-in,,0.0,,
Schuylkill,Schuylkill Twp.,U.S. House,9,Write-in,,0.0,,
Schuylkill,Tamaqua Pct. 1,U.S. House,9,Write-in,,1.0,,
Schuylkill,Tamaqua Pct. 2,U.S. House,9,Write-in,,0.0,,
Schuylkill,Tamaqua Pct. 3,U.S. House,9,Write-in,,1.0,,
Schuylkill,Tamaqua Pct. 4,U.S. House,9,Write-in,,1.0,,
Schuylkill,Union Twp.,U.S. House,9,Write-in,,0.0,,
Schuylkill,Walker Twp.,U.S. House,9,Write-in,,0.0,,
Schuylkill,West Brunswick Twp. North,U.S. House,9,Write-in,,0.0,,
Schuylkill,West Brunswick Twp. South,U.S. House,9,Write-in,,0.0,,
Schuylkill,West Penn Twp. Pct. 2,U.S. House,9,Write-in,,0.0,,
Schuylkill,West Penn Twp. Pct. 1,U.S. House,9,Write-in,,0.0,,
Schuylkill,Barry Twp.,U.S. House,9,Write-in,,1.0,,
Schuylkill,Cressona,U.S. House,9,Write-in,,0.0,,
Schuylkill,Eldred Twp.,U.S. House,9,Write-in,,0.0,,
Schuylkill,Foster Twp.,U.S. House,9,Write-in,,0.0,,
